,sentence,intent
8293,주택청약 들었어,normal
8294,이번 달에 결혼식 매 주 있어.,normal
8295,끝나니까 허무하다,normal
8296,흠 또 괜한 의미부여,normal
8297,좋아하는 사람한테 만나자고 말해도 되나.,normal
8298,이사하는 것도 일이다,normal
8299,남자 보통 어디서 만나,normal
8300,부자 백수 하고 싶어,normal
8301,새 신발 샀어,normal
8302,참 허무하네.,normal
8303,헤어진지 2달.,normal
8304,만난지 얼마 안됐는데 키스함.,normal
8305,걔는 행복하게 살텐데,normal
8306,남자친구의 틀리는 맞춤법이 거슬려.,normal
8307,완전 어이없네,normal
8308,6년 4개월동안의 연애. 그 후 이별 뭘해야할까,normal
8309,내가 너무 생각없이 말했어,normal
8310,꿈속에서도 안보여,normal
8311,나이 먹고 짝사랑하는 내가 한심해.,normal
8312,고백하고 후회하면 어떡하지,normal
8313,사장이 월급을 안줘,normal
8314,주차장이 꽉 찼어,normal
8315,택배 안와.,normal
8316,실내 데이트 어디가 좋을까,normal
8317,힘든 사랑,normal
8318,일상의 추억,normal
8319,이제 1년도 지나고 성큼 가을이 왔네.,normal
8320,이별하고 욕했어,normal
8321,친구인데도 너무 잘되니까 약 오르네,normal
8322,밑바닥까지 봐서 속은 휴련하네,normal
8323,짝녀한테 고백했는데 미안하대.,normal
8324,남자 화장하는 거 어때,normal
8325,변명거리 생각해봐,normal
8326,입이 텁텁하다,normal
8327,화장하는 동영상 보는 중,normal
8328,내 자존감,normal
8329,썸남인줄 알았는데 짝남이었나봐.,normal
8330,이번에는 분명하게 말해야지,normal
8331,고민 있어,normal
8332,장거리 썸 고백해도될까,normal
8333,법을 피해가는 사람,normal
8334,좋아하는 애 피하면서도 우울해.,normal
8335,뭐해 먹지,normal
8336,단 하루도 널 사랑하지 않은 날이 없었어,normal
8337,10년 연애사 되돌아보니 다 부질없네,normal
8338,5년간 사귀고 이별,normal
8339,내가 너무 진지한걸까.,normal
8340,또 아침은 오네,normal
8341,희망이 안보여,normal
8342,목표가 없어,normal
8343,전세비 올려달래 어떡하지,normal
8344,조카들 너무 귀찮게 해,normal
8345,이마야 운동장이야,normal
8346,저를 좋아하는 사람은 없을 거예요.,normal
8347,끝.,normal
8348,헤어짐과 중간에 다시 만남과 갈등.,normal
8349,심심한데 뭐하지,normal
8350,어둠아 끝나라,normal
8351,내가 더 좋아하는 거 같은 느낌이야.,normal
8352,전기가 갑자기 나갔어,normal
8353,오늘 다 끝냈습니다.,normal
8354,얼른 아아야 할텐데,normal
8355,착한남자.너무 쿨하지못한남자 매력없어.,normal
8356,마음 잡고 다시 시작,normal
8357,옷 걸 데가 없어,normal
8358,일은 많이 하는데 월급은 너무 적어,normal
8359,친구가 없어,normal
8360,참는방법 좀,normal
8361,짝남이 내가 좋아하는 거 알아버림.,normal
8362,여행 가야지,normal
8363,문화센터라도 가야겠다.,normal
8364,컨디션 조절이 안돼,normal
8365,셀프인테리어 해볼까,normal
8366,직구로 사면 싸겠지,normal
8367,코 근질거려,normal
8368,헤어진 여친에게 문자 보내려고.,normal
8369,방학이 끝났다니,normal
8370,맥주 소주 어떤거 마실까,normal
8371,감정컨트롤을 못하겠어,normal
8372,무서워서 뛰어 왔어,normal
8373,신혼집 꾸미고 싶어,normal
8374,멋있게 잊어 주자,normal
8375,여자친구가 수상해,normal
8376,좋아하는 여자가 너무 철벽이야.,normal
8377,머리카락이 자꾸 빠져,normal
8378,다시 보기는 봤는데 결국은.,normal
8379,먹고 자고 놀고만 싶어,normal
8380,어제 이별을 했습니다,normal
8381,알바만 하고 살고 있어,normal
8382,거울보는게 싫어졌어,normal
8383,도대체 중간이 없어,normal
8384,비가오니 그런가,normal
8385,정말.내 자신이 싫다,normal
8386,마른 기침 나와,normal
8387,첫만남 그리고 끝,normal
8388,배터리 간당간당,normal
8389,사귀고 나서 외모에 신경을 너무 안 써,normal
8390,이제 이별한지 한달,normal
8391,오늘도 그냥 그냥 다갔네.,normal
8392,무슨 향수가 좋을까,normal
8393,헤어진지 4일,normal
8394,짝녀한테 휘둘리고 싶지 않은데 이러는 내가 싫다.,normal
8395,기다리라고 말 못하겠어,normal
8396,술 한잔 했더니 너무 보고 싶네.,normal
8397,눈이 아파,normal
8398,싸웠는데 화해 어떻게 하지,normal
8399,선풍기만으로 안 되는 더위,normal
8400,요즘에는 중국어도 잘해야하나봐,normal
8401,먼들,normal
8402,아직도 너무 힙듭니다.,normal
8403,졸업 사진 잘 못 찍었어,normal
8404,머릿결 좀 찰랑거렸으면 좋겠어.,normal
8405,먼지 콜록콜록,normal
8406,헤어진지 2주째 .,normal
8407,선 들어왔어,normal
8408,별 사람이 많다,normal
8409,다 내려놓고. 오늘부터 연락 끊었네.,normal
8410,헤어진지 2달,normal
8411,마지막 도전,normal
8412,그동안의 만남과 시간이 멈춰버렸습니다.,normal
8413,의외인 점이 많은 사람이야,normal
8414,너무 힘듭니다,normal
8415,7년 내남자,normal
8416,빵 한 개만 먹어야지,normal
8417,돈 벌어서 뭐하지,normal
8418,화장 지워야 하는데 졸려,normal
8419,부모님이 결혼 자금 안 보태주신대,normal
8420,혼자 해야되는게 너무 많네,normal
8421,힘들까,normal
8422,좋아하는 여자애가 날 좋아하게 만들고 싶은데 조언 좀.,normal
8423,침대가 최고,normal
8424,우리 같이 놀자,normal
8425,오디션 도전해볼까,normal
8426,이별을 한지 조금 지나니 후회가 되네,normal
8427,미워할수 없는 그대,normal
8428,미친게 맞는걸까.,normal
8429,꽃다발 선물 받았어,normal
8430,짝사랑 진짜 못해먹겠다.,normal
8431,시험 성적 가져가면 혼날텐데,normal
8432,어떻게 하면 호감형이 될까,normal
8433,흔적,normal
8434,참다 참다,normal
8435,상메가 제 얘기 같아요,normal
8436,건강검진 왔어,normal
8437,사랑의 감정을 모르겠어,normal
8438,하고 싶은 게 없어,normal
8439,남자친구가 진짜 잘 챙겨줘,normal
8440,결국 유료 상담을 받고야 말았네,normal
8441,친구한테 마음의 빚이 많아,normal
8442,수박 먹어야지,normal
8443,하늘 좀 보구 싶다.,normal
8444,야외에서 먹으니까 더 맛있어,normal
8445,이번엔 또 뭐 해 먹지,normal
8446,정말 오랜만에 글을 쓰네,normal
8447,셀프웨딩이 유행이래,normal
8448,학원에 좋아하는 여자애가 있는데 말 거는 방법 좀.,normal
8449,샤워가운 완전 유용해,normal
8450,자장가를 불러준 사람,normal
8451,헤어졌는데 아픔보다는 미움.원망,normal
8452,너에게 쓴다,normal
8453,무너진 신뢰 쌓아가기,normal
8454,이제 한달이 조금 넘었어,normal
8455,익숙함에 속지말자 라는말에 대하여,normal
8456,기다리는게 답일까,normal
8457,흐앙 . 왤케 자꾸 생각나죠,normal
8458,사랑과 정 끊기 어렵네,normal
8459,너무 편해도 안 좋아,normal
8460,냉정해지지못해,normal
8461,설레고 싶은데 아직 좋아하는 사람이 없어.,normal
8462,너무하네 진짜,normal
8463,귀 아파,normal
8464,카드가 왜 없지,normal
8465,2년째 좋아하는 사람이 있어.,normal
8466,먼저 인사할까 했는데 짝녀가 먼저 인사해줬어.,normal
8467,결정적인 물증이 없어,normal
8468,항상 똑같애,normal
8469,썸 시작인 거 같은데 사귀고 싶어,normal
8470,정신과 방금다녀와서 처방전 받고 왔어.,normal
8471,나는 참 단순했다,normal
8472,이제야 깨달음,normal
8473,나만큼 힘들지 않았으면 좋겠습니다,normal
8474,평생하고 싶은거 찾아야 할텐데,normal
8475,어린 시절로 돌아가고 싶어,normal
8476,죽겠다 진짜,normal
8477,나쁜 꿈을 꿨어,normal
8478,낭만이라고는 없어가지구,normal
8479,집중이 왜 이렇게 안 돼지,normal
8480,피크닉 고고,normal
8481,오늘 헤어졌어.,normal
8482,연애하는데도 외로워,normal
8483,썸일 때 다른 사람 만나면,normal
8484,엄마가 안 왔으면 좋겠어,normal
8485,짝남이랑 끝났는데 그래도 매일 볼 수 있어서 좋아.,normal
8486,도움되시길,normal
8487,썸 타는 여자애 상메 궁금해.,normal
8488,밤새 술마셨나봐,normal
8489,좋은 관계를 맺는 방법,normal
8490,휴지 사야지,normal
8491,헤어지기 전으로 돌아가고 싶은건 아닌데,normal
8492,오늘 또 늦잠잤어,normal
8493,왜 살까,normal
8494,남자친구가 술주정 부려,normal
8495,답답증,normal
8496,일방적인 통보로 헤어졌습니다,normal
8497,사랑할수록 아프다,normal
8498,이별 수순을 밟고 있는 거지,normal
8499,너무 보고 싶습니다.,normal
8500,자꾸 왜 사랑이 식었는지 물어보고 싶어,normal
8501,텀블러 까먹었다.,normal
8502,눈 쌓였어,normal
8503,할인해서 샀어,normal
8504,멀쩡했는데 또시작이예요,normal
8505,오늘도출근해~,normal
8506,남편이 아기를 안 돌봐줘.,normal
8507,미련덩어리 프사 모음,normal
8508,퇴근길 엄청 막히네,normal
8509,여자친구가 선톡을 안 해,normal
8510,그녀의 카톡이 없어졌다.,normal
8511,착한 사람이 잘 됐으면 좋겠어,normal
8512,이 사람이다 싶어,normal
8513,그 사람이 나를 좋아하는 줄 알았는데.,normal
8514,도시락 싸옴,normal
8515,내가 나빴네,normal
8516,사랑 참,normal
8517,다리가 퉁퉁 부었어,normal
8518,지갑 안 가져왔다,normal
8519,이 글을 끝으로 잊고 싶어,normal
8520,진짜 좋아하는 애가 생겼으면 좋겠어.,normal
8521,40을 목전에 둔 헤어짐,normal
8522,피부가 점점 늙어가는게 느껴져,normal
8523,직장과 이별,normal
8524,오로라 보러 여행 가고 싶다,normal
8525,나만 안되는 연애,normal
8526,1년만에 다시헤어지게 됐네,normal
8527,착각인걸까,normal
8528,사람이 참 간사하죠.,normal
8529,손톱이 길어,normal
8530,결국 사랑이었어,normal
8531,침착해야지,normal
8532,먹는거에 너무 예민한 여자친구가 고민임.,normal
8533,3년 연애 . 마침표가 도저히 끊기질 않네 어쩌면 좋죠,normal
8534,이직 성공할 수 있을까,normal
8535,법을 요리조리 피해가는 사람,normal
8536,라면 먹고 싶어,normal
8537,혼자 좋아하는 것 같아,normal
8538,짝녀가 운동을 한다는데 같이 하고싶어,normal
8539,그 사람에게 여자가 생겼네. .,normal
8540,잊자 잊자 지워버리자,normal
8541,꿈에서 전남친 친구가나왓는데,normal
8542,마지막 사랑,normal
8543,지금 남친을 별로 안좋아하는 것 같은데.,normal
8544,아무래도 헤어져야 할까 봐,normal
8545,그녀를만나고와서,normal
8546,그냥 차단이나 하지.,normal
8547,마음 표현하기가 힘들어,normal
8548,정말 끝이라고,normal
8549,이런게 후폭풍인가.,normal
8550,외향적이면 좋을텐데,normal
8551,나이를 먹을수록 새로운 사람 만나는게 두려워.,normal
8552,짝사랑하다고 솔탈함. 기 받아가.,normal
8553,연휴,normal
8554,남자친구가 기념일을 잘 잊어.,normal
8555,헤어진지 2주만에 만났어,normal
8556,싸우면 자꾸 잠수를 탄다 답답해,normal
8557,나를 선택의 기로에 놓이지 않게하라,normal
8558,읽씹은 아프네,normal
8559,타로점 봤어,normal
8560,나이트갔는데 이상형 만났어,normal
8561,서로 나쁘게 헤어지지 않고 싶은데,normal
8562,결혼하고 싶다,normal
8563,일 대충했대,normal
8564,성형 무서워,normal
8565,다 내 잘못이지,normal
8566,그 남자의 결혼 소식,normal
8567,듬직한 사람이 좋아,normal
8568,드디어 봄이 오나봐,normal
8569,짝남이 학교에서 평이 안 좋아.,normal
8570,항상 선택할 때 힘들어,normal
8571,헬스장 사람들 몸이 좋아,normal
8572,난 왜 예쁘게 말을 못할까,normal
8573,자신감 하락,normal
8574,출근시간 아깝다,normal
8575,연락이 될까,normal
8576,술 먹는데 챙겨주는 짝남 무슨 의미일까요.,normal
8577,썸인지 아닌지,normal
8578,우리 사랑은 가벼웠던 거겠죠.,normal
8579,스트레스 팍팍,normal
8580,대학 가면 행복할까,normal
8581,갈수록 힘이 드네,normal
8582,짝남이 날 너무 편하게 생각해.,normal
8583,친구랑 잘 노는 방법,normal
8584,제주도 가고 싶어,normal
8585,장난인지 진심인지 구분이 안돼.,normal
8586,남자친구가 다른 여자들에게 인기가 많아.,normal
8587,말조심해야지,normal
8588,잠이 안와,normal
8589,뒤숭숭하네.,normal
8590,짜증나,normal
8591,이별 뒤.,normal
8592,심심해,normal
8593,패턴 궁금해,normal
8594,멍 때리기,normal
8595,여자친구가 좋은데 왠지 모르게 귀찮아.,normal
8596,공부는 내 체질이 아닌 것 같아,normal
8597,오늘 꿈에서 그녀가 먼저 카톡 해줬어,normal
8598,다가 오지마,normal
8599,헤어지지 않았다면 오늘이 1년째 되는 날이네,normal
8600,왔다갔다,normal
8601,잠만 잤네,normal
8602,오늘이 일주일이네.,normal
8603,너무 기빨려,normal
8604,내가 잘못한 걸까,normal
8605,지금 무작정 보러가는중입니다,normal
8606,썸타던 여자가 갑자기 돌아섰어,normal
8607,다가오는 크리마스,normal
8608,구썸남한테 연락하고 싶다.,normal
8609,너 미워,normal
8610,결국 이렇게 될 꺼면서.,normal
8611,으흠,normal
8612,고시원 답답해,normal
8613,생판 모르는 사람이 아는척해,normal
8614,여친 데려다 주고 막차 놓침,normal
8615,밤이오는게 오늘이가는게 무섭고 힘드네,normal
8616,후폭풍이 오네.,normal
8617,카드 다 부러뜨려 버려야겠다.,normal
8618,우울증 걸린 거 같아,normal
8619,이제 겨우 일주일 됐네,normal
8620,왜 이럴까,normal
8621,나 쉽게 보나,normal
8622,시간 잘 간다,normal
8623,이젠 놓아주려 해,normal
8624,짝사랑 중인 내가 이해가 안돼.,normal
8625,평생 함께하고 싶다.,normal
8626,학부모 총회에 엄마가 안 왔으면 좋겠어,normal
8627,시도때도없이 생각나네 그녀가,normal
8628,남자친구 교회 데려가고 싶어,normal
8629,나 무시 당한 거 같아,normal
8630,다시 뒤숭숭해.,normal
8631,지루함에 지쳤다네.,normal
8632,태닝할까,normal
8633,헤어지고 3주인 오늘 만났어.,normal
8634,약 먹었더니 졸려,normal
8635,좋아하는 오빠 페북 친구도 안되어있는데 실수로 댓글 달았어요.,normal
8636,보조베터리 안 가져왔다,normal
8637,매콤한 닭발 생각나,normal
8638,만난지 100일 됐는데 여행가재,normal
8639,도시락 싸가지고 다닐까,normal
8640,어려 보이고 싶어,normal
8641,여자친구가 변해가는거 같아.,normal
8642,손톱이나 깎아야지,normal
8643,축제날은 즐겨야지,normal
8644,보고싶어 잠이 안와,normal
8645,하우스웨딩 하고싶다,normal
8646,이어폰 사야지,normal
8647,미칠 것 같아,normal
8648,사랑이 뭔데 힘들게 하는지,normal
8649,주체할수 없는 눈물이 흐르네.,normal
8650,무서워요,normal
8651,집에 가기 싫어,normal
8652,후회 없이 사랑하고 싶어,normal
8653,양가 부모가 원하지 않는다면,normal
8654,신나게 산책했습니다,normal
8655,사랑하면 마냥 좋은 건 아닌 거 같아,normal
8656,내 생각 하나만 바꾸면 편할텐데.,normal
8657,어느새 나이가 30이네.,normal
8658,내 이름이 없어,normal
8659,정말 . 냉정하네,normal
8660,돈이 엄떠,normal
8661,마음이 아려,normal
8662,먼지 싫다,normal
8663,평온해,normal
8664,드디어 처음으로 꿈에 나욌습니다.,normal
8665,인간의 성향은 변하지 않나 봅니다.,normal
8666,나랑 놀자,normal
8667,오늘 하루도 너없이 잘 버텼다,normal
8668,동거 8년 환승이별.,normal
8669,컴터가 안돼,normal
8670,이별 20 일.,normal
8671,엄마 힘들게 했어,normal
8672,5년 동거후 이별.,normal
8673,힘이 드네,normal
8674,그냥 이렇게 산다.,normal
8675,수학여행가는데 입을 게 없어,normal
8676,기념일 다 챙기는거 귀찮아,normal
8677,헤어져야 맞는건지,normal
8678,나만 솔로야,normal
8679,헤어진지 딱 3주째,normal
8680,오늘따라 너무 힘들게 한다.,normal
8681,너무 힘들다.,normal
8682,다들 아니라는 남자.,normal
8683,짝녀가 나를 좋아하는 애의 절친이야.,normal
8684,단수래,normal
8685,임용 시험 기다리고 있어,normal
8686,스킨 없다,normal
8687,레고 사고 싶은데 비싸,normal
8688,선물로 인형 받았어,normal
8689,추억에 머물다.,normal
8690,발 맞춰 걷는 게 좋더라,normal
8691,2년의 꿈같았던 사랑 갑작스런이별,normal
8692,꽃다발 받았어,normal
8693,여자친구를 믿는데 가끔 의심이 가.,normal
8694,이별보다 더 아프네,normal
8695,낮에는 그나마 괜찮은데,normal
8696,남편이 미워,normal
8697,처음엔 좋았는데,normal
8698,생리통 때문에 배 아파,normal
8699,양배추즙 최악,normal
8700,멘탈이 많이 흔들리네,normal
8701,즉흥적인 여자친구가 고민임.,normal
8702,절망적이야,normal
8703,나를 좋아하는건 바라지도 않아요.,normal
8704,도서관에서 괜찮은 사람 봤어,normal
8705,젠장,normal
8706,나하긴 싫고 남주긴 아깝다는 심리인가,normal
8707,불만이 너무 많아,normal
8708,O형 남자와 썸을 타는데,normal
8709,나는 나약한 존재,normal
8710,타이밍이 진짜 기막혀,normal
8711,입을 거 없다,normal
8712,이별 후 한달째,normal
8713,제가나쁜건지 그녀가나쁜건지.,normal
8714,썸만 타고 싶어,normal
8715,엄마아빠랑 다시 같이 살아야돼,normal
8716,이젠 더이상 정 주기 무섭습니다,normal
8717,짝남 줄건데 센스있는 선물 추천해주세요.,normal
8718,좋은 점이 없어,normal
8719,꽃꽂이 배우니까 좋다,normal
8720,너가 제일 기뻐해줬을텐데,normal
8721,다들 우리 잘 어울린대,normal
8722,도대체 왜 이러는걸까,normal
8723,오토바이 타고 싶다,normal
8724,썸 타기 좋은 알바 추천 좀.,normal
8725,후폭풍 재회를 두번 또 헤어짐,normal
8726,헤어진지 3개월이 지났네.,normal
8727,요즘 눈에 띄는 여자애가 있는데,normal
8728,전 정말괜찮은데,normal
8729,사람과의 이별은 아니구,normal
8730,여자친구가 돌아다니는걸 너무 좋아해,normal
8731,성적 좀 좋았으면,normal
8732,개기름 꼈어,normal
8733,이사하는 거 도와줄까,normal
8734,버스 정류장하면 생각나,normal
8735,연락 좀 안 왔으면 좋겠어,normal
8736,뿌리 염색 다시 해야 되겠다,normal
8737,이제 놓아주렵니다,normal
8738,일만 하고 살았는데 이 모양,normal
8739,남친이 나를 안 좋아하는 것 같은데 내가 붙잡고 있는 것 같아.,normal
8740,여자친구가 자꾸 질리게 한다,normal
8741,대리효도 짜증,normal
8742,좋아하지 않는데 계속 연락하고 만나는거 가능한가.,normal
8743,대화가 안 통해,normal
8744,짝남 내일 출국인데.,normal
8745,걸핏하면 차단하는 놈,normal
8746,카톡 탈퇴하다가 다시 재가입 했는데,normal
8747,엄마랑 둘이 여행가,normal
8748,집 망한 거 같은데,normal
8749,핸드폰 꺼지기 직전,normal
8750,모든게 잊혀지면 연애를 안할생각입니다,normal
8751,친구가 나한테 집착해,normal
8752,사랑받는 행복을 알게 해준 너,normal
8753,3년째 연애 중,normal
8754,좋아하는 사람이 있는데 관계에 진전이 없어.,normal
8755,하늘 본지가 언젠지,normal
8756,또다시 꿈에 나왔네.,normal
8757,농촌 봉사활동 간다,normal
8758,돈이 안 모여,normal
8759,건강 빨리 회복해야지,normal
8760,맘 편한 데가 없어,normal
8761,여자친구와의 헤어짐을 막고 싶어,normal
8762,아 오늘 힘드네ㅜㅜ,normal
8763,이제 인턴 그만두고 싶어,normal
8764,남자친구가 나한테 너무 집착해,normal
8765,엄마 보고 싶다,normal
8766,맞춤법을 자꾸 틀리는 남친 깬다,normal
8767,리턴 다시 돌아오는 힘겨움,normal
8768,친구 예전 남자친구 사귀어도 되나,normal
8769,남편이 짜증나게해,normal
8770,자율주행 자동차 언제 나오냐,normal
8771,차 팔았더니 불편하네,normal
8772,머리가 너무 아프네,normal
8773,시간 진짜 빨리감,normal
8774,남자친구가 연락이 없어,normal
8775,정리 불가,normal
8776,나 대충한 거 아닌데,normal
8777,짝녀가 단톡에선 답장하고 갠톡은 답장 안해.,normal
8778,보이스피싱인듯,normal
8779,저도 가슴 아픈 이별을 했습니다.,normal
8780,사랑하기에 시간이 부족해,normal
8781,짝사랑만 하다보니 자존감이 떨어졌어.,normal
8782,아마 평생 모르겠지.,normal
8783,간식 뭐 먹을까,normal
8784,연락 처음에 어떻게 시작함,normal
8785,남친 멀어진 것 같아,normal
8786,에이 짱나,normal
8787,첫 출근 날이야,normal
8788,이벤트 당첨됐어!,normal
8789,비오는데 우산 챙겨 갔는지 모르겠네,normal
8790,글을 쓰게 되네,normal
8791,며칠 참다가 오늘 저녁에 또 터졌네,normal
8792,짧은 연애였는데 더 힘드네.,normal
8793,일하면서 애키우기 힘들다,normal
8794,또 공부해야돼,normal
8795,군대 기다려도 될까,normal
8796,갑자기 나쁜 생각이 막 들더라,normal
8797,원피스 입을까,normal
8798,퇴근하고 만나자고 말해볼까,normal
8799,같이 오르고있는줄 알았는데.,normal
8800,오늘은 노래한 곡에 또 울컥 ㅠ,normal
8801,니가 심어준 버릇,normal
8802,여자친구 부모님이 나를 좀 무시했어,normal
8803,아 잠수라니,normal
8804,위로 해 주세요.,normal
8805,사랑하면 안되는 사람,normal
8806,화장 지우고 자야하는데,normal
8807,불 날 뻔했어,normal
8808,배신맞은것같아,normal
8809,헤어진 여자친구 연락,normal
8810,그녀와 운동하던 헬스장 짐 정리 하러 갑니다,normal
8811,차였지만 잊지못하고 있는 한 남자입니다.,normal
8812,오늘 아무 것도 안 가져 왔다,normal
8813,죽을 때까지 함께하고 싶은 사람이 생겼어,normal
8814,짝녀가 좋아하는 사람이 있답니다.,normal
8815,헤어진지 두달,normal
8816,짝남이랑 저녁에 보기로 했는데 연락이 없다.,normal
8817,보내지 못하는 전할 수 없는 메시지,normal
8818,고백,normal
8819,커피콩 볶고 있어,normal
8820,좋아하는 남자애랑 같은 반이 됐는데 너무 떨려.,normal
8821,연애세포 다 죽었나봐,normal
8822,사랑 고민,normal
8823,아픔은 덜해지는것 같은데 미련은 더욱 많아지네,normal
8824,방학 안 끝났으면 좋겠다,normal
8825,썸남이 그냥 오빠 동생으로 지내자고 함.,normal
8826,모든 걸 다 주니까 떠난다는 그 남자,normal
8827,여자친구가 소극적이야.,normal
8828,짝녀 고민 들어줘.,normal
8829,사귀던 사람이 잠수탔어,normal
8830,장 봤는데 후덜덜해,normal
8831,말하고 후회하면 어떡해,normal
8832,소개팅남 연락이 없어,normal
8833,좋아하는 선배가 나한테 연락했으면 좋겠어.,normal
8834,대출 언제 다 갚냐,normal
8835,긴 연애 끝에 헤어짐,normal
8836,넘어져서 발목 삔 거 같애,normal
8837,눈이 계속 뻑뻑해,normal
8838,내 잘못인 거 같은데 어떻게 털어놓지,normal
8839,김치볶음밥이나 만들어 먹어야지,normal
8840,사진을 지웠어,normal
8841,집착인가,normal
8842,가슴에 구멍이 너무 커.,normal
8843,남자친구 오늘 좀 질린다.,normal
8844,보험 많이 들었어,normal
8845,남자친구가 되어줘.,normal
8846,앞으로 짝남 안봐야지.,normal
8847,아침에 일어나면 물 한 잔 마시기,normal
8848,좋아하는 사람이 있는데 종교가 달라.,normal
8849,예비 시어머니가 이상해,normal
8850,너무 허무하네,normal
8851,나는 왜 사랑하는 사람에게 잔인했던가,normal
8852,평생 내꺼일거 같아서 함부로 했습니다.,normal
8853,베란다도 꾸미니까 예쁘더라.,normal
8854,일본어 어렵네,normal
8855,희생양 된 느낌,normal
8856,남자친구 스타일이 마음에 안들어.,normal
8857,2년 사겼어,normal
8858,오래 못 가는 연애,normal
8859,시간이 약이긴 한가봅니다,normal
8860,짝사랑 하면서 내가 초라하게 느껴져.,normal
8861,안 싸우는 법,normal
8862,너한테 이글안보여줄거다 .,normal
8863,내가 아무것도 아닌 사람 같아,normal
8864,모공 너무 커,normal
8865,야식 먹고 싶은데 살 찔 거 같아,normal
8866,메뉴얼이 있으면 뭐해,normal
8867,강아지 키우고 싶어,normal
8868,칭찬 좀 해봐,normal
8869,슬퍼죽겠습니다,normal
8870,"어제 이별했고, 잡고 싶은데 도와주세",normal
8871,썸 탈 때 말투,normal
8872,짝녀가 이사간다는데 너무 힘들어.,normal
8873,상처준 사람 잘살고 있더라.,normal
8874,남자친구가 너무 귀찮아해.,normal
8875,핸드폰 떨어뜨려서 고장 났나봐,normal
8876,왜 안 하지,normal
8877,내가 좋아하는 사람이 유명해지면 기분이 어떨까.,normal
8878,사생활 좀 존중해줬으면,normal
8879,이제 탈퇴합니다,normal
8880,이제 때론 괜찮기도 해,normal
8881,헤어진게 잘한걸까,normal
8882,시험 없어지면 좋겠다.,normal
8883,친구가 배아플 정도로 잘 됐어,normal
8884,회사일 끝나면 아무것도 못하겠어,normal
8885,변한게 없어,normal
8886,진급할 때가 된 거 같은데,normal
8887,포기해야하는걸 알면서도 난 왜이러니.,normal
8888,어느덧 한달.,normal
8889,착각이면 어떡해,normal
8890,너 누구냐,normal
8891,짝녀가 저한테 관심이 없는 것 같은데도 계속 연락해도 될까요.,normal
8892,주말이네,normal
8893,정말 힘들게 헤어졌습니다,normal
8894,다정했던 너는 이미 죽었다.,normal
8895,혼자라는거 그런대로 괜찮아,normal
8896,좋아하는 게 뭔지 모르겠어,normal
8897,내가 제일 무서운건.너를 못잊을것 같은거야.,normal
8898,미련이 남아서,normal
8899,셀프웨딩 어떨꺼 같아,normal
8900,출퇴근 시간이 좀 줄어들었으면 좋겠다,normal
8901,야근각,normal
8902,죽었던 연애세포가 살아나는 것 같아.,normal
8903,썸 타는 법 좀,normal
8904,좋아하는 사람이 인기가 많은데 남친이 없어.,normal
8905,놀이공원 알바 재밌대,normal
8906,속시원해~~안녕 잘가~~~,normal
8907,연예인하고 연애해보고 싶어,normal
8908,남자친구가 sns에 나 안 올려.,normal
8909,둔한 편인데 이것만 예민해,normal
8910,사랑하는 사람이랑 헤어져야해,normal
8911,좋아하는 사람이 하는 행동에 하나씩 의미 부여하는게 짜증나.,normal
8912,그 사람 때문에 하루에도 몇 번씩 기분이 오르락 내리락 해.,normal
8913,마음이 쫌 복잡하네,normal
8914,결혼이나 하지 왜 자꾸 나한테 화 내냐구!,normal
8915,언제부터인지.,normal
8916,교양 듣는데 심남 있음. 썸 타고 싶다.,normal
8917,주저리 주저리하게 돼,normal
8918,친구가 엄청 소심해,normal
8919,다시 썸 타는 방법,normal
8920,사랑해보고싶어,normal
8921,헤어진지 3달째인데 후폭풍 왔나봐 ㅠ,normal
8922,내일 발렌타인데이인데,normal
8923,술 좋아하는 사람 싫은데 그 사람은 좋아.,normal
8924,이삿짐 싸야지,normal
8925,"이별 , 그 아픔을 잊는 시간의 두려움이란",normal
8926,반갑습니다.,normal
8927,인생 헛산듯,normal
8928,어제가 극에 달했었는데,normal
8929,내일 모의평가다,normal
8930,프로포즈 곧 받을 거 같은데,normal
8931,전공 살려서 취직할 수 있을까,normal
8932,데려다 주느라 막차 놓침,normal
8933,매듭문자를 보냈습니다.,normal
8934,더 이상 나한테 안 왔으면 좋겠어,normal
8935,어느덧 헤어진지도 4개월이 됐네,normal
8936,나 버림 받은 거 같아,normal
8937,만나러 왔습니다,normal
8938,휴대폰이 넘 느려,normal
8939,헤어졌어.,normal
8940,책보는데 글자만 봤어,normal
8941,사랑을 했다,normal
8942,하루에 몇 번씩 헷갈리네,normal
8943,재회 후 이별 !,normal
8944,드라이브 하면서 데이트 해야겠다,normal
8945,남자친구 생일인데 뭘 줄까,normal
8946,로맨틱한 사랑을 원해,normal
8947,좋아하는 여자애 생각하느라 성적이 떨어짐.,normal
8948,결국 또 다시 이별이 오네,normal
8949,원래 장난도 잘하고 재밌다고들 하는데 그녀 앞에선 작아지는데 어떡해.,normal
8950,군대 기다리면 부담스러워할까,normal
8951,친구랑 수다 떨고 왔어,normal
8952,마지막 문자 보냈어,normal
8953,헤어진 남자 친구한테 전화하고 싶어,normal
8954,짝남이 갑자기 못나 보여.,normal
8955,사랑의 결과는 어차피 두가지,normal
8956,기분 꿀꿀해,normal
8957,단체생활 많이 힘든가,normal
8958,나 자체를 사랑해줄 사람이 있을까,normal
